Stock,Subject,Announcement,Attachment,Time
MRF,Updates,MRF Limited has informed the Exchange regarding ''.Code Of Practices And Procedures For Fair Disclosure Of Unpublished Price Sensitive Information,https://nsearchives.nseindia.com/corporate/MRF_07022025120156_Policy.pdf,07-Feb-2025 12:03:09
MRF,Outcome of Board Meeting-XBRL,MRF LIMITED has informed the Exchange regarding Outcome of Board Meeting held on 06-Feb-2025 for Dividend,https://nsearchives.nseindia.com/corporate/xbrl/OUTCOME_1373286_06022025054411_WEB.xml,06-Feb-2025 17:44:12
MRF,Integrated Filing- Financial,ntegrated Filing- Financial for the quarter ended 31.12.2024,https://nsearchives.nseindia.com/corporate/MRF_06022025163228_IntegratedFilingsFinancials.pdf,06-Feb-2025 16:34:58
MRF,Updates,MRF Limited has informed the Exchange regarding 'Press Release'.,https://nsearchives.nseindia.com/corporate/MRF_06022025160357_PressRelease.pdf,06-Feb-2025 16:06:35
MRF,Dividend,"MRF Limited has informed the Exchange that Board of Directors at its meeting held on February 06, 2025, declared Interim Dividend of 3 per equity share.",https://nsearchives.nseindia.com/corporate/MRF_06022025124022_Resultfinal.pdf,06-Feb-2025 12:41:00
MRF,Record Date,MRF Limited has informed the Exchange that Record date for the purpose of Dividend  is 14-Feb-2025.,https://nsearchives.nseindia.com/corporate/MRF_06022025123746_Resultfinal.pdf,06-Feb-2025 12:39:31
MRF,Financial Result Updates,"MRF Limited has submitted to the Exchange, the financial results for the period ended December 31, 2024.",https://nsearchives.nseindia.com/corporate/Resultfinal_06022025123657.pdf,06-Feb-2025 12:36:57
MRF,General Updates,MRF Limited has informed the Exchange about information under regulation 30 of  SEBI LODR Regulation 2015,https://nsearchives.nseindia.com/corporate/MRF_31012025175140_Intimation.pdf,31-Jan-2025 17:53:38
MRF,Board Meeting Intimation,MRF LIMITED has informed the Exchange about Board Meeting to be held on 06-Feb-2025 to consider and approve the Quarterly Unaudited Financial results of the Company for the period ended December 2024 and Dividend.,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_45221_1364722_29012025051041_WEB.xml,29-Jan-2025 17:10:42
MRF,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","MRF Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",https://nsearchives.nseindia.com/corporate/MRF_08012025164037_Reg74of5.pdf,08-Jan-2025 16:41:06
MRF,Trading Window-XBRL,MRF LIMITED has informed the Exchange about Closure of Trading Window,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1334692_30122024044407_WEB.xml,30-Dec-2024 16:44:07
MRF,Trading Window,"MRF Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",https://nsearchives.nseindia.com/corporate/MRF_30122024163203_Tradingwindowclosure.pdf,30-Dec-2024 16:32:49
AARTISURF,Trading Window-XBRL,Aarti Surfactants Limited has informed the Exchange about Closure of Trading Window,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1473766_27062025075656_WEB.xml,27-Jun-2025 19:56:56
AARTISURF,Trading Window,"Aarti Surfactants Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",https://nsearchives.nseindia.com/corporate/AARTISURF_27062025195438_AARTISURF.pdf,27-Jun-2025 19:54:51
AARTISURF,Copy of Newspaper Publication,Aarti Surfactants Limited has informed the Exchange about Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/AARTISURF_14052025151029_AARTISURF.pdf,14-May-2025 15:11:11
AARTISURF,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,AARTI SURFACTANTS LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,https://nsearchives.nseindia.com/corporate/xbrl/CIM_53564_1437471_13052025053518_WEB.xml,13-May-2025 17:35:19
AARTISURF,Outcome of Board Meeting-XBRL,AARTI SURFACTANTS LIMITED has informed the Exchange regarding Outcome of Board Meeting held on 12-May-2025 for Dividend,https://nsearchives.nseindia.com/corporate/xbrl/OUTCOME_1437460_13052025053351_WEB.xml,13-May-2025 17:33:52
AARTISURF,Updates,Aarti Surfactants Limited has informed the Exchange regarding 'Withdrawal of Promoter Re-Classification Application for Mrs. Prasadi Yogesh Banatwala'.,https://nsearchives.nseindia.com/corporate/AARTISURF_12052025221756_AARTISURF.pdf,12-May-2025 22:18:11
AARTISURF,Dividend,"Aarti Surfactants Limited has informed the Exchange that Board of Directors at its meeting held on May 12, 2025, recommended Final Dividend of Re. 1 per equity share.",https://nsearchives.nseindia.com/corporate/AARTISURF_12052025215005_AARTISURF.pdf,12-May-2025 21:51:31
AARTISURF,Dividend,"Aarti Surfactants Limited has informed the Exchange that Board of Directors at its meeting held on May 12, 2025, recommended Final Dividend of 1 per equity share.",https://nsearchives.nseindia.com/corporate/AARTISURF_12052025213540_AARTISURF.pdf,12-May-2025 21:37:04
AARTISURF,Outcome of Board Meeting,"Aarti Surfactants Limited has informed the Exchange regarding Outcome of Board Meeting held on May 12, 2025.",https://nsearchives.nseindia.com/corporate/AARTISURF_12052025213034_AARTISURF.pdf,12-May-2025 21:32:53
AARTISURF,ESOP/ESOS/ESPS,Aarti Surfactants Limited has informed the Exchange regarding Grant of 11800  Options..,https://nsearchives.nseindia.com/corporate/AARTISURF_12052025195410_AARTISURF.pdf,12-May-2025 19:55:40
AARTISURF,Board Meeting Intimation,AARTI SURFACTANTS LIMITED has informed the Exchange about Board Meeting to be held on 12-May-2025 to consider and approve the Quarterly Audited Financial results of the Company for the period ended March 2025 and Dividend.,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_52442_1431872_05052025081845_WEB.xml,05-May-2025 20:18:46
AARTISURF,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Aarti Surfactants Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",https://nsearchives.nseindia.com/corporate/AARTISURF_10042025120455_AARTISURF.pdf,10-Apr-2025 12:05:05
AARTISURF,Trading Window-XBRL,Aarti Surfactants Limited has informed the Exchange about Closure of Trading Window,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1402455_26032025045053_WEB.xml,26-Mar-2025 16:50:54
AARTISURF,Trading Window,"Aarti Surfactants Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",https://nsearchives.nseindia.com/corporate/AARTISURF_26032025164844_AARTISURF.pdf,26-Mar-2025 16:49:05
AARTISURF,Copy of Newspaper Publication,Aarti Surfactants Limited has informed the Exchange about Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/AARTISURF_10022025195318_AARTISURF.pdf,10-Feb-2025 19:53:28
AARTISURF,Integrated Filing- Financial,"Integrated Filing (Financial) for the Quarter ended December 31, 2024",https://nsearchives.nseindia.com/corporate/AARTISURF_08022025180631_AARTISURF.pdf,08-Feb-2025 18:06:47
AARTISURF,General Updates,Aarti Surfactants Limited has informed the Exchange about General Updates,https://nsearchives.nseindia.com/corporate/AARTISURF_08022025155957_AARTISURF.pdf,08-Feb-2025 16:00:32
AARTISURF,General Updates,Aarti Surfactants Limited has informed the Exchange about General Updates,https://nsearchives.nseindia.com/corporate/AARTISURF_08022025154841_AARTISURF.pdf,08-Feb-2025 15:48:50
AARTISURF,Financial Result Updates,"Aarti Surfactants Limited has submitted to the Exchange, the financial results for the period ended December 31, 2024.",https://nsearchives.nseindia.com/corporate/AARTISURF_08022025153415.pdf,08-Feb-2025 15:34:15
AARTISURF,Outcome of Board Meeting,"Aarti Surfactants Limited has informed the Exchange regarding  Board meeting held on February 08, 2025.",https://nsearchives.nseindia.com/corporate/AARTISURF_08022025152403_AARTISURF.pdf,08-Feb-2025 15:27:45
AARTISURF,Board Meeting Intimation,AARTI SURFACTANTS LIMITED has informed the Exchange about Board Meeting to be held on 08-Feb-2025 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended December 2024 .,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_45696_1368079_31012025100753_WEB.xml,31-Jan-2025 22:07:54
AARTISURF,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Aarti Surfactants Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",https://nsearchives.nseindia.com/corporate/AARTISURF_10012025173345_AARTISURF.pdf,10-Jan-2025 17:34:17
SWIGGY,Trading Window-XBRL,Swiggy Limited has informed the Exchange about Closure of Trading Window,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1473472_27062025060257_WEB.xml,27-Jun-2025 18:02:57
SWIGGY,Trading Window,"Swiggy Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",https://nsearchives.nseindia.com/corporate/SWIGGY_27062025180136_SEIntimation_Trading_window_closure.pdf,27-Jun-2025 18:01:48
SWIGGY,Analysts/Institutional Investor Meet/Con. Call Updates,Swiggy Limited has informed the Exchange about Schedule of meet,https://nsearchives.nseindia.com/corporate/SWIGGY_16052025162753_SEintimation_investormeet.pdf,16-May-2025 16:28:04
SWIGGY,Analysts/Institutional Investor Meet/Con. Call Updates,Swiggy Limited has informed the Exchange about Transcript,https://nsearchives.nseindia.com/corporate/SWIGGY_14052025113820_EarningscallTranscript.pdf,14-May-2025 11:38:36
SWIGGY,Copy of Newspaper Publication,Swiggy Limited has informed the Exchange about Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/SWIGGY_12052025132801_SE_Intimation_Newspaper_publication.pdf,12-May-2025 13:28:36
SWIGGY,Outcome of Board Meeting,"Swiggy Limited has informed the Exchange regarding Outcome of Board Meeting held on May 09, 2025.",https://nsearchives.nseindia.com/corporate/SWIGGY_10052025171304_SE_intimation_Outcome.pdf,10-May-2025 17:16:18
SWIGGY,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,Swiggy Limited has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,https://nsearchives.nseindia.com/corporate/xbrl/CIM_53100_1435320_09052025075225_WEB.xml,09-May-2025 19:52:26
SWIGGY,Analysts/Institutional Investor Meet/Con. Call Updates,Swiggy Limited has informed the Exchange about Link of Recording,https://nsearchives.nseindia.com/corporate/SWIGGY_09052025195119_Earnings_call_outcome.pdf,09-May-2025 19:51:29
SWIGGY,Appointment,"Swiggy Limited has informed the Exchange regarding Appointment of  Mr. Venkatraman Ramachandran as Company Secretary & Compliance Officer of the company w.e.f. May 09, 2025.",https://nsearchives.nseindia.com/corporate/SWIGGY_09052025193824_SE_Intimation_CS_Appt.pdf,09-May-2025 19:38:37
SWIGGY,Change in Auditors,Swiggy Limited has informed the Exchange regarding Change in Auditors of the company.,https://nsearchives.nseindia.com/corporate/SWIGGY_09052025193019_SE_intimation_final.pdf,09-May-2025 19:30:46
SWIGGY,General Updates,Swiggy Limited has informed the Exchange about the re-appointment of Internal Auditor.,https://nsearchives.nseindia.com/corporate/SWIGGY_09052025184344_Re-appointment_of_Internal_Auditor.pdf,09-May-2025 18:44:12
SWIGGY,Monitoring Agency Report,"Monitoring Agency Report for the quarter and financial year ended March 31, 2025.",https://nsearchives.nseindia.com/corporate/SWIGGY_09052025183006_Swiggy_Monitoring_Agency_Report.pdf,09-May-2025 18:30:16
SWIGGY,General Updates,Swiggy Limited has informed the Exchange about Shareholders Letter Q4 FY25,https://nsearchives.nseindia.com/corporate/SWIGGY_09052025161721_Covering_Letter_Letter_to_Shareholders.pdf,09-May-2025 16:19:37
SWIGGY,Press Release,"Swiggy Limited has informed the Exchange regarding a press release dated May 09, 2025, titled ""financial results for the quarter and financial year ended March 31, 2025"".",https://nsearchives.nseindia.com/corporate/SWIGGY_09052025155752_Covering_Letter_Press_Release.pdf,09-May-2025 15:58:18
SWIGGY,Outcome of Board Meeting,"Swiggy Limited has informed the Exchange regarding  Board meeting held on May 09, 2025.",https://nsearchives.nseindia.com/corporate/SWIGGY_09052025154909_SE_intimation_Outcome.pdf,09-May-2025 15:49:52
SWIGGY,Press Release,"Swiggy Limited has informed the Exchange regarding a press release dated May 06, 2025, titled ""Kouzina Acquires Exclusive License to Scale Swiggy s Food Brands: The Bowl Company (TBC), Homely, Soul Rasa, and Istah"".",https://nsearchives.nseindia.com/corporate/SWIGGY_06052025103340_CoveringLetter_Press_Release_Kouzina.pdf,06-May-2025 10:33:50
SWIGGY,General Updates,"Swiggy Limited has informed the Exchange that the Nomination and Remuneration Committee at their meeting held on May 02, 2025, have approved the allotment of equity shares under ESOP Plans",https://nsearchives.nseindia.com/corporate/SWIGGY_02052025194034_SE_intimation_ESOP_Allotment.pdf,02-May-2025 19:40:45
SWIGGY,Press Release,"Swiggy Limited has informed the Exchange regarding a press release dated May 02, 2025, titled ""Swiggy Bets Big on Bolt: Now Live In 500+ Cities Across India"".",https://nsearchives.nseindia.com/corporate/SWIGGY_02052025162900_CoveringLetter_Press_Release_Bolt_Expansion.pdf,02-May-2025 16:29:12
SWIGGY,Board Meeting Intimation,Swiggy Limited has informed the Exchange about Board Meeting to be held on 09-May-2025 to inter-alia consider and approve the Audited Financial results of the Company for the Yearly ended March 2025 .,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_52051_1430324_02052025110627_WEB.xml,02-May-2025 11:06:28
SWIGGY,Analysts/Institutional Investor Meet/Con. Call Updates,Swiggy Limited has informed the Exchange about Schedule of meet,https://nsearchives.nseindia.com/corporate/SWIGGY_30042025184650_Earningscall_Q4FY25.pdf,30-Apr-2025 18:48:56
SWIGGY,General Updates,"Swiggy Limited has informed the Exchange that the Finance and General Management Committee, at their meeting held on Tuesday, April 22, 2025, have approved the allotment of 36,32,264 equity shares of the Company pursuant to the exercise of stock options by the eligible employees, under Swiggy ESOP Plan 2015 & Swiggy ESOP Plan 2021",https://nsearchives.nseindia.com/corporate/SWIGGY_22042025175212_SE_Intimation_ESOP_Allotment.pdf,22-Apr-2025 17:52:37
SWIGGY,General Updates,Swiggy Limited has informed the Exchange about the grant of stock options under Swiggy Employees Stock Option Plan 2024,https://nsearchives.nseindia.com/corporate/SWIGGY_21042025211928_SE_intimationESOPgrantAMJ_signed.pdf,21-Apr-2025 21:19:50
SWIGGY,Resignation of Independent director,SWIGGY LIMITED has informed the Exchange about Resignation of Independent director.,https://nsearchives.nseindia.com/corporate/SWIGGY_ROID_50486_KMP_Doc.zip,11-Apr-2025 17:29:29
SWIGGY,Resignation,"Swiggy Limited has informed the Exchange regarding Resignation of Mr Sahil Barua as Non- Executive Independent Director of the company w.e.f. April 11, 2025.",https://nsearchives.nseindia.com/corporate/SWIGGY_11042025172215_SE_Intimation_Sahil_Regn_Signed.pdf,11-Apr-2025 17:23:02
SWIGGY,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Swiggy Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",https://nsearchives.nseindia.com/corporate/SWIGGY_10042025172027_Reg74_5__signed.pdf,10-Apr-2025 17:20:43
SWIGGY,General Updates,"Swiggy Limited has informed the Exchange about the order received from Office of the Profession Tax Officer for the period April 01, 2021, to March 31, 2022.",https://nsearchives.nseindia.com/corporate/SWIGGY_05042025154727_SEintimation.pdf,05-Apr-2025 15:48:27
SWIGGY,General Updates,Swiggy Limited has informed the Exchange about the grant of stock options under Swiggy Employees Stock Option Plan 2024,https://nsearchives.nseindia.com/corporate/SWIGGY_03042025222543_SE_intimation_-_ESOP_grant_signed.pdf,03-Apr-2025 22:25:58
SWIGGY,Shareholders meeting,Swiggy Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot through Remote E-Voting,https://nsearchives.nseindia.com/corporate/SWIGGY_03042025202447_PostalBallot_outcome_with_ScrutinisersReport.pdf,03-Apr-2025 20:26:11
SWIGGY,General Updates,Swiggy Limited has informed the Exchange about the order received from Deputy Commissioner of Income-tax for the period April 2021 to March 2022,https://nsearchives.nseindia.com/corporate/SWIGGY_01042025195516_SE_intimation_-_Receipt_of_Tax_Order_1_April_2025_signed.pdf,01-Apr-2025 19:55:30
SWIGGY,Trading Window-XBRL,SWIGGY LIMITED has informed the Exchange about Closure of Trading Window,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1403450_27032025034051_WEB.xml,27-Mar-2025 15:40:52
SWIGGY,Trading Window,"Swiggy Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",https://nsearchives.nseindia.com/corporate/SWIGGY_27032025153914_Trading_window_closure_Signed.pdf,27-Mar-2025 15:39:25
SWIGGY,General Updates,Swiggy Limited has informed the Exchange about the order received from Deputy Commissioner of Income-tax for the period April 2018 to March 2019.,https://nsearchives.nseindia.com/corporate/SWIGGY_27032025153631_SE_intimation_-_Receipt_of_Tax_Order_26_March_2025_Signed.pdf,27-Mar-2025 15:37:07
SWIGGY,General Updates,Swiggy Limited has informed the Exchange about the order received for the period April 2017 to March 2018 passed by Deputy Commissioner of Income-tax.,https://nsearchives.nseindia.com/corporate/SWIGGY_26032025115848_SE_Intimation_Receipt_of_Tax_Order_Signed.pdf,26-Mar-2025 11:59:03
SWIGGY,General Updates,"Swiggy Limited has informed the Exchange that the Finance and General Management Committee, at their Meeting held on Monday, March 24, 2025, have approved the allotment of 38,31,082 equity shares of the Company pursuant to the exercise of stock options by the eligible employees, under Swiggy ESOP Plan 2015 & Swiggy ESOP Plan 2021",https://nsearchives.nseindia.com/corporate/SWIGGY_24032025150208_SE_Intimation_ESOP_Allotment_Signed_240325.pdf,24-Mar-2025 15:02:25
SWIGGY,Press Release,"Swiggy Limited has informed the Exchange regarding a press release dated March 17, 2025, titled ""Swiggy Instamart expansion "".",https://nsearchives.nseindia.com/corporate/SWIGGY_17032025114751_CoveringLetter_Press_Release_IM_Expansion_Signed.pdf,17-Mar-2025 11:48:30
SWIGGY,Press Release,"Swiggy Limited has informed the Exchange regarding a press release dated March 11, 2025, titled ""Swiggy Sustainability Summit 2025"".",https://nsearchives.nseindia.com/corporate/SWIGGY_11032025174416_CoveringLetter_Press_Release_Sustainability_Summit_signed.pdf,11-Mar-2025 17:44:27
SWIGGY,Copy of Newspaper Publication,Swiggy Limited has informed the Exchange about Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/SWIGGY_04032025131143_Postal_Ballot_notice_Newspaper_advertisement_Final.pdf,04-Mar-2025 13:11:58
SWIGGY,Notice Of Shareholders Meetings-XBRL,Swiggy Limited has informed the Exchange about Notice of Shareholders Meeting for Postal Ballot,https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1391904_03032025071027_WEB.xml,03-Mar-2025 19:10:28
SWIGGY,Shareholders meeting,Swiggy Limited has informed the Exchange regarding Notice of Postal Ballot,https://nsearchives.nseindia.com/corporate/SWIGGY_03032025185918_SE_Postalballot_intimation.pdf,03-Mar-2025 18:59:59
SWIGGY,General Updates,"Swiggy Limited has informed the Exchange that the Finance and General Management Committee, at its Meeting held on Wednesday, February 26, 2025, have approved the allotment of 8,64,417 equity shares of the Company pursuant to the exercise of stock options by the eligible employees, under Swiggy ESOP Plan 2021.",https://nsearchives.nseindia.com/corporate/SWIGGY_26022025145115_SE_Intimation_ESOP_Allotment.pdf,26-Feb-2025 14:51:38
SWIGGY,Outcome of Board Meeting,"Swiggy Limited has informed the Exchange regarding  Board meeting held on February 26, 2025.",https://nsearchives.nseindia.com/corporate/SWIGGY_26022025144522_SE_Intimation_Outcome.pdf,26-Feb-2025 14:45:40
SWIGGY,General Updates,Swiggy Limited has informed the Exchange about General Updates,https://nsearchives.nseindia.com/corporate/SWIGGY_21022025190658_SEintimation_investormeet.pdf,21-Feb-2025 19:07:06
SWIGGY,General Updates,"Swiggy Limited has informed the Exchange that the Nomination and Remuneration Committee, at their Meeting held on Friday, February 21, 2025, have approved the allotment of 1,71,44,660 equity shares of the Company pursuant to the exercise of stock options by the eligible employees, under Swiggy ESOP Plan 2015 & Swiggy ESOP Plan 2021.",https://nsearchives.nseindia.com/corporate/SWIGGY_21022025184446_SE_intimation_ESOP_Allotment.pdf,21-Feb-2025 18:45:38
SWIGGY,Outcome of Board Meeting,"Swiggy Limited has informed the Exchange regarding  Board meeting held on February 21, 2025.",https://nsearchives.nseindia.com/corporate/SWIGGY_21022025183750_SE_Intimation_Outcome.pdf,21-Feb-2025 18:38:04
SWIGGY,General Updates,Swiggy Limited has informed the Exchange about General Updates,https://nsearchives.nseindia.com/corporate/SWIGGY_18022025125113_30_5__18022025_Signed.pdf,18-Feb-2025 12:51:30
SWIGGY,Analysts/Institutional Investor Meet/Con. Call Updates,Swiggy Limited has informed the Exchange about Transcript,https://nsearchives.nseindia.com/corporate/SWIGGY_07022025205738_Earnings_call_Transcript.pdf,07-Feb-2025 20:58:07
SWIGGY,Analysts/Institutional Investor Meet/Con. Call Updates,Swiggy Limited has informed the Exchange about Investor meets,https://nsearchives.nseindia.com/corporate/SWIGGY_07022025162244_SEintimation_investormeet_signed.pdf,07-Feb-2025 16:23:13
SWIGGY,Copy of Newspaper Publication,"Swiggy Limited has informed the Exchange about Copy of Newspaper Publication of un-audited Financial Results for the quarter and nine months ended December 31, 2024",https://nsearchives.nseindia.com/corporate/SWIGGY_07022025141758_Newspaper_publication_signed.pdf,07-Feb-2025 14:18:12
SWIGGY,Analysts/Institutional Investor Meet/Con. Call Updates,Swiggy Limited has informed the Exchange about Link of Recording,https://nsearchives.nseindia.com/corporate/SWIGGY_05022025212100_EarningsCallOutcome_Q3.pdf,05-Feb-2025 21:21:45
SWIGGY,Integrated Filing- Financial,"Integrated filing for the quarter and nine months ended December 31, 2024",https://nsearchives.nseindia.com/corporate/SWIGGY_05022025185533_Integratedfiling_Final.pdf,05-Feb-2025 18:55:49
SWIGGY,Statement of deviation(s) or variation(s) under Reg. 32,Swiggy Limited has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32,https://nsearchives.nseindia.com/corporate/SWIGGY_05022025182557_SwiggyStatementofDeviation.pdf,05-Feb-2025 18:26:20
SWIGGY,Monitoring Agency Report,"Monitoring Agency Report for the quarter ended December 31, 2024",https://nsearchives.nseindia.com/corporate/SWIGGY_05022025181011_MonitoringAgencyReport_Q3.pdf,05-Feb-2025 18:10:28
SWIGGY,General Updates,"Swiggy Limited has informed the Exchange about the letter to Shareholders for the quarter ended December 31, 2024",https://nsearchives.nseindia.com/corporate/SWIGGY_05022025165026_Lettertoshareholder_Q3.pdf,05-Feb-2025 16:50:53
SWIGGY,Press Release,"Swiggy Limited has informed the Exchange regarding a press release dated February 05, 2025, titled ""Press release for Financial Results for the quarter ended December 31, 2024"".",https://nsearchives.nseindia.com/corporate/SWIGGY_05022025161040_Press_Release_Q3.pdf,05-Feb-2025 16:11:02
SWIGGY,Financial Result Updates,"Swiggy Limited has submitted to the Exchange, the financial results for the period ended December 31, 2024.",https://nsearchives.nseindia.com/corporate/SE_Intimation_Outcome_05022025155350.pdf,05-Feb-2025 15:53:50
SWIGGY,Outcome of Board Meeting,"Swiggy Limited has informed the Exchange regarding  Board meeting held on February 05, 2025.",https://nsearchives.nseindia.com/corporate/SWIGGY_05022025155124_SE_Intimation_Outcome.pdf,05-Feb-2025 15:51:50
SWIGGY,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,SWIGGY LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,https://nsearchives.nseindia.com/corporate/xbrl/CIM_45223_1364736_29012025051246_WEB.xml,29-Jan-2025 17:12:47
SWIGGY,Resignation,"Swiggy Limited has informed the Exchange regarding Resignation of  M. Sridhar as Company Secretary & Compliance Officer of the company w.e.f. February 17, 2025.",https://nsearchives.nseindia.com/corporate/SWIGGY_29012025171045_SE_Intimation_CS_Resignation.pdf,29-Jan-2025 17:11:32
SWIGGY,Analysts/Institutional Investor Meet/Con. Call Updates,Swiggy Limited has informed the Exchange about Schedule of meet,https://nsearchives.nseindia.com/corporate/SWIGGY_29012025152027_Earningscall_Q3FY25.pdf,29-Jan-2025 15:23:42
SWIGGY,Board Meeting Intimation,SWIGGY LIMITED has informed the Exchange about Board Meeting to be held on 05-Feb-2025 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended December 2024 .,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_45151_1364106_29012025121238_WEB.xml,29-Jan-2025 12:12:39
SWIGGY,General Updates,"Swiggy Limited has informed the Exchange that the Nomination and Remuneration Committee, at their Meeting held on January 25, 2025, have approved the allotment of 2,61,93,411 equity shares of the Company pursuant to the exercise of stock options by the eligible employees, under Swiggy ESOP Plan 2015 & Swiggy ESOP Plan 2021",https://nsearchives.nseindia.com/corporate/SWIGGY_25012025125701_ESOPallotment_signed.pdf,25-Jan-2025 12:57:24
